,Building,Class,Actual_Enrl,Latitude,Longitude,Days,Day_start_M,Day_end_M,Day_start_T,Day_end_T,Day_start_W,Day_end_W,Day_start_R,Day_end_R,Day_start_F,Day_end_F,Day_start_S,Day_end_S,Day_start_U,Day_end_U
469,CH,AD HOC,0,680507.418369,7642314.424760001,R,na,na,na,na,na,na,2016-09-29 16:00:00,2016-09-29 17:50:00,na,na,na,na,na,na
471,CH,ACTG 381,42,680507.418369,7642314.424760001,MW,2016-09-26 08:15:00,2016-09-26 10:05:00,na,na,2016-09-28 08:15:00,2016-09-28 10:05:00,na,na,na,na,na,na,na,na
472,CH,ACTG 381,0,680507.418369,7642314.424760001,MW,2016-09-26 08:15:00,2016-09-26 10:05:00,na,na,2016-09-28 08:15:00,2016-09-28 10:05:00,na,na,na,na,na,na,na,na
473,CH,BA 301,43,680507.418369,7642314.424760001,MWF,2016-09-26 10:15:00,2016-09-26 11:20:00,na,na,2016-09-28 10:15:00,2016-09-28 11:20:00,na,na,2016-09-30 10:15:00,2016-09-30 11:20:00,na,na,na,na
474,CH,FIN 449,28,680507.418369,7642314.424760001,MWF,2016-09-26 11:30:00,2016-09-26 12:35:00,na,na,2016-09-28 11:30:00,2016-09-28 12:35:00,na,na,2016-09-30 11:30:00,2016-09-30 12:35:00,na,na,na,na
475,CH,HST 104,43,680507.418369,7642314.424760001,MWF,2016-09-26 12:45:00,2016-09-26 13:50:00,na,na,2016-09-28 12:45:00,2016-09-28 13:50:00,na,na,2016-09-30 12:45:00,2016-09-30 13:50:00,na,na,na,na
476,CH,HST 375U,20,680507.418369,7642314.424760001,MW,2016-09-26 14:00:00,2016-09-26 15:50:00,na,na,2016-09-28 14:00:00,2016-09-28 15:50:00,na,na,na,na,na,na,na,na
477,CH,BA 301,46,680507.418369,7642314.424760001,TR,na,na,2016-09-27 08:00:00,2016-09-27 09:50:00,na,na,2016-09-29 08:00:00,2016-09-29 09:50:00,na,na,na,na,na,na
478,CH,BA 213,43,680507.418369,7642314.424760001,TR,na,na,2016-09-27 10:00:00,2016-09-27 11:50:00,na,na,2016-09-29 10:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
479,CH,SOC 480,40,680507.418369,7642314.424760001,TR,na,na,2016-09-27 12:00:00,2016-09-27 13:50:00,na,na,2016-09-29 12:00:00,2016-09-29 13:50:00,na,na,na,na,na,na
480,CH,SOC 580,2,680507.418369,7642314.424760001,TR,na,na,2016-09-27 12:00:00,2016-09-27 13:50:00,na,na,2016-09-29 12:00:00,2016-09-29 13:50:00,na,na,na,na,na,na
481,CH,PSY 471,35,680507.418369,7642314.424760001,TR,na,na,2016-09-27 14:00:00,2016-09-27 15:50:00,na,na,2016-09-29 14:00:00,2016-09-29 15:50:00,na,na,na,na,na,na
482,CH,PSY 571,2,680507.418369,7642314.424760001,TR,na,na,2016-09-27 14:00:00,2016-09-27 15:50:00,na,na,2016-09-29 14:00:00,2016-09-29 15:50:00,na,na,na,na,na,na
483,CH,PA 556,12,680507.418369,7642314.424760001,W,na,na,na,na,2016-09-28 16:00:00,2016-09-28 18:30:00,na,na,na,na,na,na,na,na
484,CH,UNST 117C,9,680507.418369,7642314.424760001,MW,2016-09-26 10:15:00,2016-09-26 11:05:00,na,na,2016-09-28 10:15:00,2016-09-28 11:05:00,na,na,na,na,na,na,na,na
485,CH,UNST 117C,13,680507.418369,7642314.424760001,MW,2016-09-26 11:30:00,2016-09-26 12:20:00,na,na,2016-09-28 11:30:00,2016-09-28 12:20:00,na,na,na,na,na,na,na,na
486,CH,UNST 117C,12,680507.418369,7642314.424760001,MW,2016-09-26 12:45:00,2016-09-26 13:35:00,na,na,2016-09-28 12:45:00,2016-09-28 13:35:00,na,na,na,na,na,na,na,na
487,CH,UNST 254B,12,680507.418369,7642314.424760001,M,2016-09-26 15:30:00,2016-09-26 16:20:00,na,na,na,na,na,na,na,na,na,na,na,na
488,CH,UNST 254B,11,680507.418369,7642314.424760001,M,2016-09-26 16:30:00,2016-09-26 17:20:00,na,na,na,na,na,na,na,na,na,na,na,na
489,CH,UNST 117A,12,680507.418369,7642314.424760001,TR,na,na,2016-09-27 09:30:00,2016-09-27 10:20:00,na,na,2016-09-29 09:30:00,2016-09-29 10:20:00,na,na,na,na,na,na
490,CH,UNST 117A,11,680507.418369,7642314.424760001,TR,na,na,2016-09-27 10:30:00,2016-09-27 11:20:00,na,na,2016-09-29 10:30:00,2016-09-29 11:20:00,na,na,na,na,na,na
491,CH,UNST 124E,12,680507.418369,7642314.424760001,T,na,na,2016-09-27 12:00:00,2016-09-27 12:50:00,na,na,na,na,na,na,na,na,na,na
492,CH,UNST 124E,12,680507.418369,7642314.424760001,T,na,na,2016-09-27 13:00:00,2016-09-27 13:50:00,na,na,na,na,na,na,na,na,na,na
