,Building,Class,Actual_Enrl,Day_M
638,CH,UNST 147B,12,2016-09-26 15:00:00
639,CH,UNST 131C,10,2016-09-26 16:00:00
640,CH,UNST 131C,10,2016-09-26 17:00:00
652,CH,INTL 226D,2,2016-09-26 08:30:00
653,CH,UNST 233G,8,2016-09-26 08:30:00
654,CH,UNST 134A,12,2016-09-26 10:00:00
655,CH,UNST 134A,12,2016-09-26 11:00:00
656,CH,UNST 134A,12,2016-09-26 12:00:00
657,CH,UNST 147B,12,2016-09-26 13:00:00
658,CH,UNST 134C,12,2016-09-26 15:00:00
659,CH,UNST 134C,12,2016-09-26 16:00:00
682,CH,PSY 451,70,2016-09-26 09:00:00
683,CH,PSY 348,34,2016-09-26 10:15:00
684,CH,SOC 344U,18,2016-09-26 11:30:00
685,CH,SOC 200,98,2016-09-26 12:45:00
686,CH,PSY 200,99,2016-09-26 14:00:00
687,CH,ACTG 493,20,2016-09-26 17:40:00
688,CH,ACTG 593S,15,2016-09-26 17:40:00
695,CH,MGMT 428,25,2016-09-26 09:00:00
696,CH,PHL 316U,30,2016-09-26 10:15:00
697,CH,BA 385,41,2016-09-26 11:30:00
698,CH,MTH 261,38,2016-09-26 12:45:00
699,CH,SPHR 471,32,2016-09-26 14:00:00
700,CH,SPHR 571,1,2016-09-26 14:00:00
701,CH,MTH 095,39,2016-09-26 16:40:00
708,CH,UNST 236C,10,2016-09-26 08:00:00
709,CH,UNST 144G,12,2016-09-26 09:30:00
710,CH,UNST 144G,12,2016-09-26 10:30:00
711,CH,UNST 144G,12,2016-09-26 11:30:00
712,CH,UNST 141A,11,2016-09-26 14:00:00
713,CH,UNST 141A,12,2016-09-26 15:00:00
714,CH,UNST 141A,12,2016-09-26 16:00:00
715,CH,UNST 254G,12,2016-09-26 17:00:00
716,CH,UNST 234I,11,2016-09-26 18:00:00
717,CH,UNST 234I,10,2016-09-26 19:00:00
729,CH,INTL 226D,3,2016-09-26 11:00:00
730,CH,UNST 233G,6,2016-09-26 11:00:00
731,CH,UNST 144C,14,2016-09-26 12:00:00
732,CH,UNST 144C,11,2016-09-26 13:00:00
733,CH,UNST 144C,11,2016-09-26 14:00:00
734,CH,UNST 228C,12,2016-09-26 16:00:00
735,CH,UNST 228C,10,2016-09-26 17:00:00
753,CH,UNST 236C,12,2016-09-26 11:30:00
754,CH,UNST 220C,12,2016-09-26 13:00:00
755,CH,UNST 220C,13,2016-09-26 14:00:00
756,CH,UNST 254G,12,2016-09-26 16:00:00
757,CH,UNST 231C,10,2016-09-26 17:30:00
