,Building,Class,Actual_Enrl,Day_M
3460,SRTC,PH 545,7,2016-09-26 18:40:00
3466,SRTC,WR 323,23,2016-09-26 10:15:00
3467,SRTC,ENG 300,25,2016-09-26 11:30:00
3468,SRTC,SPED 417,14,2016-09-26 14:00:00
3469,SRTC,ELP 525,15,2016-09-26 18:40:00
3473,SRTC,PH 507,2,2016-09-26 09:00:00
3474,SRTC,PH 507,0,2016-09-26 09:00:00
3475,SRTC,PH 607,0,2016-09-26 09:00:00
3476,SRTC,PH 607,0,2016-09-26 09:00:00
3477,SRTC,PH 214,17,2016-09-26 18:40:00
3492,SRTC,STAT 664,8,2016-09-26 10:15:00
3493,SRTC,LING 114,15,2016-09-26 11:30:00
3494,SRTC,CH 460,5,2016-09-26 16:40:00
3495,SRTC,CH 560,3,2016-09-26 16:40:00
3496,SRTC,CH 410,5,2016-09-26 18:40:00
3497,SRTC,CH 510,6,2016-09-26 18:40:00
3508,SRTC,UNST 421,15,2016-09-26 09:00:00
3509,SRTC,LING 114,13,2016-09-26 12:45:00
3510,SRTC,BI 410,6,2016-09-26 15:15:00
3511,SRTC,BI 510,1,2016-09-26 15:15:00
3518,SRTC,ESM 220L,20,2016-09-26 11:30:00
3526,SRTC,UNST 421,12,2016-09-26 09:00:00
3527,SRTC,STAT 243,39,2016-09-26 14:00:00
3528,SRTC,LING 399,17,2016-09-26 15:15:00
3529,SRTC,BA 385,31,2016-09-26 17:40:00
3538,SRTC,PH 214,14,2016-09-26 17:00:00
3565,SRTC,SPHR 530,23,2016-09-26 09:00:00
3566,SRTC,SPHR 584,22,2016-09-26 11:00:00
3567,SRTC,WR 323,23,2016-09-26 14:00:00
3578,SRTC,WR 460,4,2016-09-26 10:00:00
3579,SRTC,WR 560,11,2016-09-26 10:00:00
3580,SRTC,CHN 411,2,2016-09-26 12:00:00
3581,SRTC,CHN 511,0,2016-09-26 12:00:00
3582,SRTC,WR 412,18,2016-09-26 14:00:00
3583,SRTC,UNST 421,12,2016-09-26 16:40:00
3591,SRTC,SCI 311U,34,2016-09-26 11:30:00
3600,SRTC,BI 473,12,2016-09-26 08:15:00
3601,SRTC,BI 573,2,2016-09-26 08:15:00
3602,SRTC,BI 410,4,2016-09-26 16:00:00
3603,SRTC,BI 510,6,2016-09-26 16:00:00
3611,SRTC,UNST 107K,36,2016-09-26 08:45:00
3612,SRTC,CH 411,24,2016-09-26 10:15:00
3613,SRTC,CH 511,4,2016-09-26 10:15:00
3614,SRTC,CS 533,30,2016-09-26 11:30:00
3615,SRTC,PS 431,27,2016-09-26 14:00:00
3616,SRTC,PS 531,2,2016-09-26 14:00:00
3617,SRTC,BA 211,42,2016-09-26 17:40:00
3629,SRTC,BI 410,10,2016-09-26 18:00:00
3630,SRTC,BI 510,2,2016-09-26 18:00:00
3635,SRTC,CH 107,23,2016-09-26 10:15:00
3636,SRTC,CH 107,13,2016-09-26 13:00:00
3637,SRTC,CH 107,8,2016-09-26 15:00:00
3642,SRTC,CH 337,11,2016-09-26 13:00:00
3643,SRTC,CH 337,11,2016-09-26 17:40:00
3651,SRTC,CH 337,19,2016-09-26 13:00:00
3652,SRTC,CH 337,4,2016-09-26 17:40:00
3663,SRTC,ESM 330,11,2016-09-26 08:15:00
3664,SRTC,CE 566,1,2016-09-26 10:15:00
3665,SRTC,CE 666,1,2016-09-26 10:15:00
3666,SRTC,ESM 566,23,2016-09-26 10:15:00
3667,SRTC,SCI 201,11,2016-09-26 14:00:00
3668,SRTC,UNST 286A,29,2016-09-26 14:00:00
3674,UCB,LING 121,11,2016-09-26 10:15:00
3676,UCB,LING 131,17,2016-09-26 09:00:00
3677,UCB,LING 104,11,2016-09-26 14:00:00
3679,UCB,COMM 511,13,2016-09-26 16:00:00
3680,UCB,LING 454,6,2016-09-26 12:45:00
3682,URBN,AD HOC,0,2016-09-26 07:00:00
3683,URBN,KOR 101,23,2016-09-26 09:00:00
3684,URBN,ANTH 301,17,2016-09-26 10:00:00
3685,URBN,JPN 341U,28,2016-09-26 14:00:00
3686,URBN,SW 511,12,2016-09-26 16:00:00
3687,URBN,SW 301U,40,2016-09-26 17:30:00
3708,URBN,AD HOC,0,2016-09-26 07:00:00
3709,URBN,PHL 371H,1,2016-09-26 09:00:00
3710,URBN,PHL 371U,10,2016-09-26 09:00:00
3711,URBN,CHN 101,14,2016-09-26 12:00:00
3717,URBN,USP 325U,20,2016-09-26 13:00:00
3727,URBN,LING 390,61,2016-09-26 10:15:00
3728,URBN,PS 221,50,2016-09-26 11:30:00
3729,URBN,CCJ 370U,73,2016-09-26 12:45:00
3730,URBN,HST 385U,41,2016-09-26 14:00:00
3731,URBN,CCJ 240,24,2016-09-26 17:30:00
3746,URBN,USP 465,3,2016-09-26 09:00:00
3747,URBN,USP 565,18,2016-09-26 09:00:00
3748,URBN,USP 584,38,2016-09-26 17:30:00
3763,URBN,RUS 201,19,2016-09-26 10:15:00
3764,URBN,MTH 434,15,2016-09-26 11:30:00
3765,URBN,MTH 534,8,2016-09-26 11:30:00
3766,URBN,SW 521,14,2016-09-26 13:00:00
3767,URBN,USP 523,24,2016-09-26 16:40:00
3786,URBN,KOR 101,18,2016-09-26 09:00:00
3787,URBN,CHLA 390U,7,2016-09-26 10:00:00
3788,URBN,HON 407,19,2016-09-26 12:00:00
3789,URBN,ANTH 435,13,2016-09-26 14:00:00
3790,URBN,ANTH 435H,0,2016-09-26 14:00:00
3791,URBN,ANTH 535,0,2016-09-26 14:00:00
3792,URBN,SW 511,13,2016-09-26 16:00:00
3793,URBN,WS 451,10,2016-09-26 17:30:00
3794,URBN,WS 551,7,2016-09-26 17:30:00
3801,URBN,GEOG 607,1,2016-09-26 15:30:00
3802,URBN,USP 607,1,2016-09-26 15:30:00
3805,URBN,GEOG 607,1,2016-09-26 16:30:00
3806,URBN,USP 607,1,2016-09-26 16:30:00
3819,URBN,PAP 620,6,2016-09-26 16:00:00
3820,URBN,PS 520,0,2016-09-26 16:00:00
3828,UTS,MS 131,23,2016-09-26 06:30:00
3829,UTS,MTH 261,43,2016-09-26 09:00:00
3830,UTS,UNST 421,15,2016-09-26 10:15:00
3831,UTS,ACTG 422,34,2016-09-26 17:40:00
3832,UTS,ACTG 522S,0,2016-09-26 17:40:00
3846,UTS,EC 435,26,2016-09-26 16:40:00
3847,UTS,EC 535,3,2016-09-26 16:40:00
3858,UTS,BA 101,59,2016-09-26 08:00:00
3859,UTS,EC 340,13,2016-09-26 10:00:00
3860,UTS,BA 205,47,2016-09-26 17:40:00
3872,UTS,SPAN 101,27,2016-09-26 10:15:00
3873,UTS,ASL 201,26,2016-09-26 14:00:00
3874,UTS,GER 201,14,2016-09-26 18:40:00
3885,UTS,SOC 250,30,2016-09-26 14:00:00
3886,UTS,MTH 070,31,2016-09-26 16:40:00
3895,UTS,LING 131,17,2016-09-26 10:15:00
3896,UTS,CS 451,8,2016-09-26 14:00:00
3897,UTS,CS 551,17,2016-09-26 14:00:00
3898,UTS,ED 420,29,2016-09-26 16:00:00
3899,UTS,ED 520,3,2016-09-26 16:00:00
3907,UTS,ASL 101,28,2016-09-26 10:15:00
3908,UTS,USP 419,8,2016-09-26 12:00:00
3909,UTS,USP 519,5,2016-09-26 12:00:00
3910,UTS,ART 497,6,2016-09-26 14:00:00
3911,UTS,ART 597,6,2016-09-26 14:00:00
3919,UTS,BA 205,40,2016-09-26 08:00:00
3920,UTS,COMM 437,22,2016-09-26 10:00:00
3921,UTS,COMM 537,6,2016-09-26 10:00:00
3922,UTS,HON 407,5,2016-09-26 10:00:00
3923,UTS,CFS 481U,40,2016-09-26 14:15:00
3924,UTS,ACTG 360,41,2016-09-26 17:40:00
3934,UTS,ARCH 367U,18,2016-09-26 09:00:00
3935,UTS,CR 512,12,2016-09-26 17:30:00
3952,UTS,BST 202,24,2016-09-26 10:00:00
3953,UTS,SPED 509,18,2016-09-26 13:00:00
3954,UTS,ED 586,18,2016-09-26 15:30:00
3955,UTS,MGMT 351,21,2016-09-26 17:40:00
3968,UTS,PHE 448,24,2016-09-26 08:15:00
3969,UTS,STAT 243,40,2016-09-26 10:15:00
3970,UTS,ANTH 325U,36,2016-09-26 11:30:00
3971,UTS,ITP 511,20,2016-09-26 13:30:00
3972,UTS,BA 339L,31,2016-09-26 17:30:00
3980,UTS,ETM 347U,30,2016-09-26 08:15:00
3981,UTS,CFS 491,31,2016-09-26 10:15:00
3982,UTS,LING 477,12,2016-09-26 14:00:00
3983,UTS,LING 577,4,2016-09-26 14:00:00
3984,UTS,FR 101,18,2016-09-26 18:40:00
